date,ticker,price
2001-08-01,VZ,24.855235
2001-08-02,VZ,24.302301
2001-08-03,VZ,23.936655
2001-08-06,VZ,23.753827
2001-08-07,VZ,23.887602
2001-08-08,VZ,23.655725
2001-08-09,VZ,23.521956
2001-08-10,VZ,24.048133
2001-08-13,VZ,23.918815
2001-08-14,VZ,23.936655
2001-08-15,VZ,23.588838
2001-08-16,VZ,23.767203
2001-08-17,VZ,23.410472
2001-08-20,VZ,23.767203
2001-08-21,VZ,23.767203
2001-08-22,VZ,23.428312
2001-08-23,VZ,23.187515
2001-08-24,VZ,23.236568
2001-08-27,VZ,22.897673
2001-08-28,VZ,22.549859
2001-08-29,VZ,22.295691
2001-08-30,VZ,22.39825
2001-08-31,VZ,22.295691
2001-09-04,VZ,22.273393
2001-09-05,VZ,22.228804
2001-09-06,VZ,21.867614
2001-09-07,VZ,21.87207
2001-09-10,VZ,22.607828
2001-09-17,VZ,22.206506
2001-09-18,VZ,23.053746
2001-09-19,VZ,24.034755
2001-09-20,VZ,23.744911
2001-09-21,VZ,22.585536
2001-09-24,VZ,23.187515
2001-09-25,VZ,24.057048
2001-09-26,VZ,23.963406
2001-09-27,VZ,23.90098
2001-09-28,VZ,24.128393
2001-10-01,VZ,24.659035
2001-10-02,VZ,24.8374
2001-10-03,VZ,24.462832
2001-10-04,VZ,24.502965
2001-10-05,VZ,24.455813
2001-10-08,VZ,24.469286
2001-10-09,VZ,24.45132
2001-10-10,VZ,24.294149
2001-10-11,VZ,23.732826
2001-10-12,VZ,23.485842
2001-10-15,VZ,23.445426
2001-10-16,VZ,23.396033
2001-10-17,VZ,23.643011
2001-10-18,VZ,23.396033
2001-10-19,VZ,23.508298
2001-10-22,VZ,22.973912
2001-10-23,VZ,22.390134
2001-10-24,VZ,22.497909
2001-10-25,VZ,22.538325
2001-10-26,VZ,22.726929
2001-10-29,VZ,22.538325
2001-10-30,VZ,22.13866
2001-10-31,VZ,22.367684
2001-11-01,VZ,22.964935
2001-11-02,VZ,23.059234
2001-11-05,VZ,22.991879
2001-11-06,VZ,22.65508
2001-11-07,VZ,22.385646
2001-11-08,VZ,22.426062
2001-11-09,VZ,22.533837
2001-11-12,VZ,22.228475
2001-11-13,VZ,21.954548
2001-11-14,VZ,22.11621
2001-11-15,VZ,22.834704
2001-11-16,VZ,22.58772
2001-11-19,VZ,22.4081
2001-11-20,VZ,22.093757
2001-11-21,VZ,21.999452
2001-11-23,VZ,22.003945
2001-11-26,VZ,21.936586
2001-11-27,VZ,21.554882
2001-11-28,VZ,21.487522
2001-11-29,VZ,21.312393
2001-11-30,VZ,21.105824
2001-12-03,VZ,21.316881
2001-12-04,VZ,21.545904
2001-12-05,VZ,21.622243
2001-12-06,VZ,21.806355
2001-12-07,VZ,21.492018
2001-12-10,VZ,21.694092
2001-12-11,VZ,21.492018
2001-12-12,VZ,21.271977
2001-12-13,VZ,21.343824
2001-12-14,VZ,21.195633
2001-12-17,VZ,21.716546
2001-12-18,VZ,21.577337
2001-12-19,VZ,21.756962
2001-12-20,VZ,21.67613
2001-12-21,VZ,21.173183
2001-12-24,VZ,21.195633
2001-12-26,VZ,21.195633
2001-12-27,VZ,21.738996
2001-12-28,VZ,21.67613
2001-12-31,VZ,21.312393
2002-01-02,VZ,21.774922
2002-01-03,VZ,22.497909
2002-01-04,VZ,22.726929
2002-01-07,VZ,22.58772
2002-01-08,VZ,22.535681
2002-01-09,VZ,22.119363
2002-01-10,VZ,22.341095
2002-01-11,VZ,22.490429
2002-01-14,VZ,22.766471
2002-01-15,VZ,22.666917
2002-01-16,VZ,22.173665
2002-01-17,VZ,22.544734
2002-01-18,VZ,22.12841
2002-01-22,VZ,21.856898
2002-01-23,VZ,22.24154
2002-01-24,VZ,21.76639
2002-01-25,VZ,21.644212
2002-01-28,VZ,21.793541
2002-01-29,VZ,21.187161
2002-01-30,VZ,20.770839
2002-01-31,VZ,20.974475
2002-02-01,VZ,21.087606
2002-02-04,VZ,20.635085
2002-02-05,VZ,20.368095
2002-02-06,VZ,19.639532
2002-02-07,VZ,20.137305
2002-02-08,VZ,20.454075
2002-02-11,VZ,20.603409
2002-02-12,VZ,20.512901
2002-02-13,VZ,20.499325
2002-02-14,VZ,20.607932
2002-02-15,VZ,20.639607
2002-02-19,VZ,20.684859
2002-02-20,VZ,21.092131
2002-02-21,VZ,20.114682
2002-02-22,VZ,20.499325
2002-02-25,VZ,21.128334
2002-02-26,VZ,21.27314
2002-02-27,VZ,21.331967
2002-02-28,VZ,21.178114
2002-03-01,VZ,21.988127
2002-03-04,VZ,21.689464
2002-03-05,VZ,21.449626
2002-03-06,VZ,21.761866
